"","year","park","variable","annual_value","averages","decades"
"80",1980,"HOVE","Rain",280.3,"annual_avg","1980-2019"
"81",1980,"HOVE","Accumulated SWE",27,"annual_avg","1980-2019"
"82",1980,"HOVE","PET",737.9,"annual_avg","1980-2019"
"83",1980,"HOVE","Deficit",500.4,"annual_avg","1980-2019"
"84",1980,"HOVE","AET",238.4,"annual_avg","1980-2019"
"85",1980,"NABR","Soil Water",22.255737704918,"annual_avg","1980-2019"
"86",1980,"NABR","Runoff",163.4,"annual_avg","1980-2019"
"87",1980,"NABR","Rain",268.1,"annual_avg","1980-2019"
"88",1980,"NABR","Accumulated SWE",24,"annual_avg","1980-2019"
"89",1980,"NABR","PET",743.8,"annual_avg","1980-2019"
"90",1980,"NABR","Deficit",544.8,"annual_avg","1980-2019"
"91",1980,"NABR","AET",197.8,"annual_avg","1980-2019"
"92",1980,"PISP","Soil Water",29.3825136612022,"annual_avg","1980-2019"
"93",1980,"PISP","Runoff",132.6,"annual_avg","1980-2019"
"94",1980,"PISP","Rain",381.3,"annual_avg","1980-2019"
"95",1980,"PISP","Accumulated SWE",3,"annual_avg","1980-2019"
"96",1980,"PISP","PET",843.8,"annual_avg","1980-2019"
"97",1980,"PISP","Deficit",573.5,"annual_avg","1980-2019"
"98",1980,"PISP","AET",269.5,"annual_avg","1980-2019"
"99",1980,"TICA","Soil Water",104.580327868852,"annual_avg","1980-2019"
"100",1980,"TICA","Runoff",586.1,"annual_avg","1980-2019"
"101",1980,"TICA","Rain",465,"annual_avg","1980-2019"
"102",1980,"TICA","Accumulated SWE",242.6,"annual_avg","1980-2019"
"103",1980,"TICA","PET",464.5,"annual_avg","1980-2019"
"104",1980,"TICA","Deficit",174.4,"annual_avg","1980-2019"
"105",1980,"TICA","AET",290.1,"annual_avg","1980-2019"
"106",1980,"ZION","Soil Water",24.8939890710383,"annual_avg","1980-2019"
"107",1980,"ZION","Runoff",477.8,"annual_avg","1980-2019"
"108",1980,"ZION","Rain",610.8,"annual_avg","1980-2019"
"109",1980,"ZION","Accumulated SWE",20.9,"annual_avg","1980-2019"
"110",1980,"ZION","PET",650.4,"annual_avg","1980-2019"
"111",1980,"ZION","Deficit",377.4,"annual_avg","1980-2019"
"112",1980,"ZION","AET",272.6,"annual_avg","1980-2019"
"113",1981,"ARCH","Soil Water",5.18219178082192,"annual_avg","1980-2019"
"114",1981,"ARCH","Runoff",27.4,"annual_avg","1980-2019"
"115",1981,"ARCH","Rain",263,"annual_avg","1980-2019"
"116",1981,"ARCH","Accumulated SWE",11.4,"annual_avg","1980-2019"
"117",1981,"ARCH","PET",846.4,"annual_avg","1980-2019"
"118",1981,"ARCH","Deficit",602.3,"annual_avg","1980-2019"
"119",1981,"ARCH","AET",243.7,"annual_avg","1980-2019"
"120",1981,"BLCA","Soil Water",53.0934246575342,"annual_avg","1980-2019"
"121",1981,"BLCA","Runoff",10.9,"annual_avg","1980-2019"
"122",1981,"BLCA","Rain",328.1,"annual_avg","1980-2019"
"123",1981,"BLCA","Accumulated SWE",22.7,"annual_avg","1980-2019"
"124",1981,"BLCA","PET",653.2,"annual_avg","1980-2019"
"125",1981,"BLCA","Deficit",289.3,"annual_avg","1980-2019"
"126",1981,"BLCA","AET",363.3,"annual_avg","1980-2019"
"127",1981,"BRCA","Soil Water",34.0016438356164,"annual_avg","1980-2019"
"128",1981,"BRCA","Runoff",56.2,"annual_avg","1980-2019"
"129",1981,"BRCA","Rain",320.1,"annual_avg","1980-2019"
"130",1981,"BRCA","Accumulated SWE",40.9,"annual_avg","1980-2019"
"131",1981,"BRCA","PET",596.1,"annual_avg","1980-2019"
"132",1981,"BRCA","Deficit",273,"annual_avg","1980-2019"
"133",1981,"BRCA","AET",322.5,"annual_avg","1980-2019"
"134",1981,"CANY","Soil Water",3.00630136986301,"annual_avg","1980-2019"
"135",1981,"CANY","Runoff",16.6,"annual_avg","1980-2019"
"136",1981,"CANY","Rain",223.3,"annual_avg","1980-2019"
"137",1981,"CANY","Accumulated SWE",6.5,"annual_avg","1980-2019"
"138",1981,"CANY","PET",855.5,"annual_avg","1980-2019"
"139",1981,"CANY","Deficit",639.6,"annual_avg","1980-2019"
"140",1981,"CANY","AET",215.3,"annual_avg","1980-2019"
"141",1981,"CARE","Soil Water",18.3246575342466,"annual_avg","1980-2019"
"142",1981,"CARE","Runoff",0,"annual_avg","1980-2019"
"143",1981,"CARE","Rain",207.5,"annual_avg","1980-2019"
"144",1981,"CARE","Accumulated SWE",8.2,"annual_avg","1980-2019"
"145",1981,"CARE","PET",710.4,"annual_avg","1980-2019"
"146",1981,"CARE","Deficit",485.8,"annual_avg","1980-2019"
"147",1981,"CARE","AET",222.9,"annual_avg","1980-2019"
"148",1981,"CEBR","Soil Water",230.195890410959,"annual_avg","1980-2019"
"149",1981,"CEBR","Runoff",631.6,"annual_avg","1980-2019"
"150",1981,"CEBR","Rain",407,"annual_avg","1980-2019"
"151",1981,"CEBR","Accumulated SWE",295.8,"annual_avg","1980-2019"
"152",1981,"CEBR","PET",330.4,"annual_avg","1980-2019"
"153",1981,"CEBR","Deficit",31.2,"annual_avg","1980-2019"
"154",1981,"CEBR","AET",299,"annual_avg","1980-2019"
"155",1981,"COLM","Soil Water",20.1739726027397,"annual_avg","1980-2019"
"156",1981,"COLM","Runoff",0,"annual_avg","1980-2019"
"157",1981,"COLM","Rain",257.9,"annual_avg","1980-2019"
"158",1981,"COLM","Accumulated SWE",6.6,"annual_avg","1980-2019"
"159",1981,"COLM","PET",781.3,"annual_avg","1980-2019"
"160",1981,"COLM","Deficit",523.2,"annual_avg","1980-2019"
"161",1981,"COLM","AET",257.8,"annual_avg","1980-2019"
"162",1981,"CURE","Soil Water",15.161095890411,"annual_avg","1980-2019"
"163",1981,"CURE","Runoff",23.9,"annual_avg","1980-2019"
"164",1981,"CURE","Rain",218.4,"annual_avg","1980-2019"
"165",1981,"CURE","Accumulated SWE",21.9,"annual_avg","1980-2019"
"166",1981,"CURE","PET",532.2,"annual_avg","1980-2019"
"167",1981,"CURE","Deficit",286.7,"annual_avg","1980-2019"
"168",1981,"CURE","AET",246.6,"annual_avg","1980-2019"
"169",1981,"DINO","Soil Water",29.2208219178082,"annual_avg","1980-2019"
"170",1981,"DINO","Runoff",9.2,"annual_avg","1980-2019"
"171",1981,"DINO","Rain",269.2,"annual_avg","1980-2019"
"172",1981,"DINO","Accumulated SWE",6.3,"annual_avg","1980-2019"
"173",1981,"DINO","PET",701.7,"annual_avg","1980-2019"
"174",1981,"DINO","Deficit",444.2,"annual_avg","1980-2019"
"175",1981,"DINO","AET",256.7,"annual_avg","1980-2019"
"176",1981,"FOBU","Soil Water",175.012328767123,"annual_avg","1980-2019"
"177",1981,"FOBU","Runoff",0,"annual_avg","1980-2019"
"178",1981,"FOBU","Rain",209.5,"annual_avg","1980-2019"
"179",1981,"FOBU","Accumulated SWE",57.6,"annual_avg","1980-2019"
"180",1981,"FOBU","PET",459.3,"annual_avg","1980-2019"
"181",1981,"FOBU","Deficit",168.6,"annual_avg","1980-2019"
"182",1981,"FOBU","AET",291.6,"annual_avg","1980-2019"
"183",1981,"GOSP","Soil Water",52.9142465753425,"annual_avg","1980-2019"
"184",1981,"GOSP","Runoff",48.4,"annual_avg","1980-2019"
"185",1981,"GOSP","Rain",347.8,"annual_avg","1980-2019"
"186",1981,"GOSP","Accumulated SWE",26.3,"annual_avg","1980-2019"
"187",1981,"GOSP","PET",683.7,"annual_avg","1980-2019"
"188",1981,"GOSP","Deficit",380,"annual_avg","1980-2019"
"189",1981,"GOSP","AET",302.8,"annual_avg","1980-2019"
"190",1981,"HOVE","Soil Water",31.5643835616438,"annual_avg","1980-2019"
"191",1981,"HOVE","Runoff",0,"annual_avg","1980-2019"
"192",1981,"HOVE","Rain",250.6,"annual_avg","1980-2019"
"193",1981,"HOVE","Accumulated SWE",8.6,"annual_avg","1980-2019"
"194",1981,"HOVE","PET",789.5,"annual_avg","1980-2019"
"195",1981,"HOVE","Deficit",528.5,"annual_avg","1980-2019"
"196",1981,"HOVE","AET",260.8,"annual_avg","1980-2019"
"197",1981,"NABR","Soil Water",22.692602739726,"annual_avg","1980-2019"
"198",1981,"NABR","Runoff",22.4,"annual_avg","1980-2019"
"199",1981,"NABR","Rain",345.6,"annual_avg","1980-2019"
"200",1981,"NABR","Accumulated SWE",6.4,"annual_avg","1980-2019"
"201",1981,"NABR","PET",773.2,"annual_avg","1980-2019"
"202",1981,"NABR","Deficit",441.6,"annual_avg","1980-2019"
"203",1981,"NABR","AET",331.3,"annual_avg","1980-2019"
"204",1981,"PISP","Soil Water",23.1487671232877,"annual_avg","1980-2019"
"205",1981,"PISP","Runoff",0,"annual_avg","1980-2019"
"206",1981,"PISP","Rain",309.6,"annual_avg","1980-2019"
"207",1981,"PISP","Accumulated SWE",10.2,"annual_avg","1980-2019"
"208",1981,"PISP","PET",897.5,"annual_avg","1980-2019"
"209",1981,"PISP","Deficit",591.3,"annual_avg","1980-2019"
"210",1981,"PISP","AET",304.9,"annual_avg","1980-2019"
"211",1981,"TICA","Soil Water",108.75698630137,"annual_avg","1980-2019"
"212",1981,"TICA","Runoff",443.5,"annual_avg","1980-2019"
"213",1981,"TICA","Rain",545.3,"annual_avg","1980-2019"
"214",1981,"TICA","Accumulated SWE",72.5,"annual_avg","1980-2019"
"215",1981,"TICA","PET",499.1,"annual_avg","1980-2019"
"216",1981,"TICA","Deficit",186,"annual_avg","1980-2019"
"217",1981,"TICA","AET",313.4,"annual_avg","1980-2019"
"218",1981,"ZION","Soil Water",23.2509589041096,"annual_avg","1980-2019"
"219",1981,"ZION","Runoff",139.4,"annual_avg","1980-2019"
"220",1981,"ZION","Rain",421.1,"annual_avg","1980-2019"
"221",1981,"ZION","Accumulated SWE",20.8,"annual_avg","1980-2019"
"222",1981,"ZION","PET",713.2,"annual_avg","1980-2019"
"223",1981,"ZION","Deficit",357.6,"annual_avg","1980-2019"
"224",1981,"ZION","AET",355.1,"annual_avg","1980-2019"
"225",1982,"ARCH","Soil Water",6.39424657534247,"annual_avg","1980-2019"
"226",1982,"ARCH","Runoff",51.1,"annual_avg","1980-2019"
"227",1982,"ARCH","Rain",218,"annual_avg","1980-2019"
"228",1982,"ARCH","Accumulated SWE",8.1,"annual_avg","1980-2019"
"229",1982,"ARCH","PET",792.3,"annual_avg","1980-2019"
"230",1982,"ARCH","Deficit",597,"annual_avg","1980-2019"
"231",1982,"ARCH","AET",194.2,"annual_avg","1980-2019"
"232",1982,"BLCA","Soil Water",58.141095890411,"annual_avg","1980-2019"
"233",1982,"BLCA","Runoff",80.5,"annual_avg","1980-2019"
"234",1982,"BLCA","Rain",281.2,"annual_avg","1980-2019"
"235",1982,"BLCA","Accumulated SWE",61.1,"annual_avg","1980-2019"
"236",1982,"BLCA","PET",590.3,"annual_avg","1980-2019"
"237",1982,"BLCA","Deficit",274.5,"annual_avg","1980-2019"
"238",1982,"BLCA","AET",314.4,"annual_avg","1980-2019"
"239",1982,"BRCA","Soil Water",36.6134246575342,"annual_avg","1980-2019"
"240",1982,"BRCA","Runoff",119.5,"annual_avg","1980-2019"
"241",1982,"BRCA","Rain",257,"annual_avg","1980-2019"
"242",1982,"BRCA","Accumulated SWE",81.2,"annual_avg","1980-2019"
"243",1982,"BRCA","PET",513.8,"annual_avg","1980-2019"
"244",1982,"BRCA","Deficit",267,"annual_avg","1980-2019"
"245",1982,"BRCA","AET",246.1,"annual_avg","1980-2019"
"246",1982,"CANY","Soil Water",3.57808219178082,"annual_avg","1980-2019"
"247",1982,"CANY","Runoff",24.5,"annual_avg","1980-2019"
"248",1982,"CANY","Rain",179,"annual_avg","1980-2019"
"249",1982,"CANY","Accumulated SWE",7.5,"annual_avg","1980-2019"
"250",1982,"CANY","PET",797.3,"annual_avg","1980-2019"
"251",1982,"CANY","Deficit",630.3,"annual_avg","1980-2019"
"252",1982,"CANY","AET",167.3,"annual_avg","1980-2019"
"253",1982,"CARE","Soil Water",21.6452054794521,"annual_avg","1980-2019"
"254",1982,"CARE","Runoff",3.9,"annual_avg","1980-2019"
"255",1982,"CARE","Rain",167,"annual_avg","1980-2019"
"256",1982,"CARE","Accumulated SWE",21.4,"annual_avg","1980-2019"
"257",1982,"CARE","PET",645.2,"annual_avg","1980-2019"
"258",1982,"CARE","Deficit",432.6,"annual_avg","1980-2019"
"259",1982,"CARE","AET",213.3,"annual_avg","1980-2019"
"260",1982,"CEBR","Soil Water",229.226361031519,"annual_avg","1980-2019"
"261",1982,"CEBR","Runoff",741.6,"annual_avg","1980-2019"
"262",1982,"CEBR","Rain",305.7,"annual_avg","1980-2019"
"263",1982,"CEBR","Accumulated SWE",560.7,"annual_avg","1980-2019"
"264",1982,"CEBR","PET",271.9,"annual_avg","1980-2019"
"265",1982,"CEBR","Deficit",28.4,"annual_avg","1980-2019"
"266",1982,"CEBR","AET",243.7,"annual_avg","1980-2019"
"267",1982,"COLM","Soil Water",28.7978082191781,"annual_avg","1980-2019"
"268",1982,"COLM","Runoff",23.4,"annual_avg","1980-2019"
"269",1982,"COLM","Rain",231.5,"annual_avg","1980-2019"
"270",1982,"COLM","Accumulated SWE",20.1,"annual_avg","1980-2019"
"271",1982,"COLM","PET",714.1,"annual_avg","1980-2019"
"272",1982,"COLM","Deficit",477.2,"annual_avg","1980-2019"
"273",1982,"COLM","AET",237,"annual_avg","1980-2019"
"274",1982,"CURE","Soil Water",12.9871232876712,"annual_avg","1980-2019"
"275",1982,"CURE","Runoff",67.1,"annual_avg","1980-2019"
"276",1982,"CURE","Rain",181.1,"annual_avg","1980-2019"
"277",1982,"CURE","Accumulated SWE",69,"annual_avg","1980-2019"
"278",1982,"CURE","PET",479.3,"annual_avg","1980-2019"
"279",1982,"CURE","Deficit",272.5,"annual_avg","1980-2019"
"280",1982,"CURE","AET",207.9,"annual_avg","1980-2019"
"281",1982,"DINO","Soil Water",36.427397260274,"annual_avg","1980-2019"
"282",1982,"DINO","Runoff",53.9,"annual_avg","1980-2019"
"283",1982,"DINO","Rain",241.8,"annual_avg","1980-2019"
"284",1982,"DINO","Accumulated SWE",23.9,"annual_avg","1980-2019"
"285",1982,"DINO","PET",635.8,"annual_avg","1980-2019"
"286",1982,"DINO","Deficit",399.1,"annual_avg","1980-2019"
"287",1982,"DINO","AET",237.4,"annual_avg","1980-2019"
"288",1982,"FOBU","Soil Water",219.838630136986,"annual_avg","1980-2019"
"289",1982,"FOBU","Runoff",59.3,"annual_avg","1980-2019"
"290",1982,"FOBU","Rain",287.8,"annual_avg","1980-2019"
"291",1982,"FOBU","Accumulated SWE",103.3,"annual_avg","1980-2019"
"292",1982,"FOBU","PET",405.4,"annual_avg","1980-2019"
"293",1982,"FOBU","Deficit",93.5,"annual_avg","1980-2019"
"294",1982,"FOBU","AET",312.5,"annual_avg","1980-2019"
"295",1982,"GOSP","Soil Water",62.4745205479452,"annual_avg","1980-2019"
"296",1982,"GOSP","Runoff",274.9,"annual_avg","1980-2019"
"297",1982,"GOSP","Rain",495.2,"annual_avg","1980-2019"
"298",1982,"GOSP","Accumulated SWE",63.3,"annual_avg","1980-2019"
"299",1982,"GOSP","PET",612.4,"annual_avg","1980-2019"
"300",1982,"GOSP","Deficit",288.7,"annual_avg","1980-2019"
"301",1982,"GOSP","AET",323.7,"annual_avg","1980-2019"
"302",1982,"HOVE","Soil Water",48.812602739726,"annual_avg","1980-2019"
"303",1982,"HOVE","Runoff",0,"annual_avg","1980-2019"
"304",1982,"HOVE","Rain",292.8,"annual_avg","1980-2019"
"305",1982,"HOVE","Accumulated SWE",26.4,"annual_avg","1980-2019"
"306",1982,"HOVE","PET",737.1,"annual_avg","1980-2019"
"307",1982,"HOVE","Deficit",443.3,"annual_avg","1980-2019"
"308",1982,"HOVE","AET",293.6,"annual_avg","1980-2019"
"309",1982,"NABR","Soil Water",27.5356164383562,"annual_avg","1980-2019"
"310",1982,"NABR","Runoff",51,"annual_avg","1980-2019"
"311",1982,"NABR","Rain",272.9,"annual_avg","1980-2019"
"312",1982,"NABR","Accumulated SWE",16.8,"annual_avg","1980-2019"
"313",1982,"NABR","PET",706.4,"annual_avg","1980-2019"
"314",1982,"NABR","Deficit",443.8,"annual_avg","1980-2019"
"315",1982,"NABR","AET",262.3,"annual_avg","1980-2019"
"316",1982,"PISP","Soil Water",31.0142465753425,"annual_avg","1980-2019"
"317",1982,"PISP","Runoff",7.7,"annual_avg","1980-2019"
"318",1982,"PISP","Rain",271.6,"annual_avg","1980-2019"
"319",1982,"PISP","Accumulated SWE",11,"annual_avg","1980-2019"
"320",1982,"PISP","PET",798.8,"annual_avg","1980-2019"
"321",1982,"PISP","Deficit",531.3,"annual_avg","1980-2019"
"322",1982,"PISP","AET",267.1,"annual_avg","1980-2019"
"323",1982,"TICA","Soil Water",117.495068493151,"annual_avg","1980-2019"
"324",1982,"TICA","Runoff",731.8,"annual_avg","1980-2019"
"325",1982,"TICA","Rain",672.8,"annual_avg","1980-2019"
"326",1982,"TICA","Accumulated SWE",208.1,"annual_avg","1980-2019"
"327",1982,"TICA","PET",444.5,"annual_avg","1980-2019"
"328",1982,"TICA","Deficit",126.9,"annual_avg","1980-2019"
"329",1982,"TICA","AET",317.5,"annual_avg","1980-2019"
"330",1982,"ZION","Soil Water",25.9035616438356,"annual_avg","1980-2019"
"331",1982,"ZION","Runoff",363.8,"annual_avg","1980-2019"
"332",1982,"ZION","Rain",420.5,"annual_avg","1980-2019"
"333",1982,"ZION","Accumulated SWE",48.4,"annual_avg","1980-2019"
"334",1982,"ZION","PET",624.9,"annual_avg","1980-2019"
"335",1982,"ZION","Deficit",360.4,"annual_avg","1980-2019"
"336",1982,"ZION","AET",264.6,"annual_avg","1980-2019"
"337",1983,"ARCH","Soil Water",7.22027397260274,"annual_avg","1980-2019"
"338",1983,"ARCH","Runoff",91.4,"annual_avg","1980-2019"
"339",1983,"ARCH","Rain",301.3,"annual_avg","1980-2019"
"340",1983,"ARCH","Accumulated SWE",17.2,"annual_avg","1980-2019"
"341",1983,"ARCH","PET",780,"annual_avg","1980-2019"
"342",1983,"ARCH","Deficit",533.1,"annual_avg","1980-2019"
"343",1983,"ARCH","AET",245.8,"annual_avg","1980-2019"
"344",1983,"BLCA","Soil Water",57.947397260274,"annual_avg","1980-2019"
"345",1983,"BLCA","Runoff",100.8,"annual_avg","1980-2019"
"346",1983,"BLCA","Rain",331,"annual_avg","1980-2019"
"347",1983,"BLCA","Accumulated SWE",94.3,"annual_avg","1980-2019"
"348",1983,"BLCA","PET",581.1,"annual_avg","1980-2019"
"349",1983,"BLCA","Deficit",233.9,"annual_avg","1980-2019"
"350",1983,"BLCA","AET",345.9,"annual_avg","1980-2019"
"351",1983,"BRCA","Soil Water",36.4030136986301,"annual_avg","1980-2019"
"352",1983,"BRCA","Runoff",251,"annual_avg","1980-2019"
"353",1983,"BRCA","Rain",300.1,"annual_avg","1980-2019"
"354",1983,"BRCA","Accumulated SWE",114.7,"annual_avg","1980-2019"
"355",1983,"BRCA","PET",503.6,"annual_avg","1980-2019"
"356",1983,"BRCA","Deficit",247.6,"annual_avg","1980-2019"
"357",1983,"BRCA","AET",256.7,"annual_avg","1980-2019"
"358",1983,"CANY","Soil Water",4.63260273972603,"annual_avg","1980-2019"
"359",1983,"CANY","Runoff",65.5,"annual_avg","1980-2019"
"360",1983,"CANY","Rain",233.7,"annual_avg","1980-2019"
"361",1983,"CANY","Accumulated SWE",13.9,"annual_avg","1980-2019"
"362",1983,"CANY","PET",787.6,"annual_avg","1980-2019"
